Confusion Matrix — Naive_Bayes
                                   Advoca    Arts  Automa  Blockc  Busine  Civil   Data S  Databa  DevOps  DotNet  ETL De  Electr      HR  Hadoop  Health  Java D  Mechan  Networ  Operat     PMO  Python  SAP De   Sales  Testin  Web De
Advocate                                1       0       0       0       0       0       0       0       0       0       0       0       0       0       0       2       0       0       0       0       0       0       0       1       0
Arts                                    0       7       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0
Automation Testing                      0       0       2       0       0       0       0       0       0       0       0       0       0       0       0       2       0       0       0       0       0       0       0       1       0
Blockchain                              0       0       0       8       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0
Business Analyst                        0       0       0       0       6       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0
Civil Engineer                          0       0       0       0       0       5       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0
Data Science                            0       0       0       0       0       0       8       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0
Database                                0       0       0       0       0       0       0       7       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0
DevOps Engineer                         0       0       0       0       0       0       0       0      11       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0
DotNet Developer                        0       0       0       0       0       0       0       0       0       2       0       0       0       0       0       3       0       0       0       0       0       0       0       0       0
ETL Developer                           0       0       0       0       0       0       0       0       0       0       8       0       0       0       0       0       0       0       0       0       0       0       0       0       0
Electrical Engineering                  0       0       0       0       0       0       0       0       0       0       0       6       0       0       0       0       0       0       0       0       0       0       0       0       0
HR                                      0       0       0       0       0       0       0       0       0       0       0       0       9       0       0       0       0       0       0       0       0       0       0       0       0
Hadoop                                  0       0       0       0       0       0       0       0       0       0       0       0       0       8       0       0       0       0       0       0       0       0       0       0       0
Health and fitness                      0       0       0       0       0       0       0       0       0       0       0       0       0       0       6       0       0       0       0       0       0       0       0       0       0
Java Developer                          0       0       0       0       0       0       0       0       0       0       0       0       0       0       0      17       0       0       0       0       0       0       0       0       0
Mechanical Engineer                     0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       8       0       0       0       0       0       0       0       0
Network Security Engineer               0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       5       0       0       0       0       0       0       0
Operations Manager                      0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       8       0       0       0       0       0       0
PMO                                     0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       6       0       0       0       0       0
Python Developer                        0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0      10       0       0       0       0
SAP Developer                           0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       5       0       0       0
Sales                                   0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       8       0       0
Testing                                 0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0      14       0
Web Designing                           0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0       9
